city,country,lat,lng,max_temp,humidity,cloudiness,wind_speed,date
Susanville,US,40.4163,-120.653,71.6,6,1,3.44,1619655810
Port Alfred,ZA,-33.5906,26.891,66.22,79,98,8.48,1619655836
Rikitea,PF,-23.1203,-134.9692,76.06,66,41,10.02,1619655836
Korgen,NO,66.0771,13.8153,35.01,73,91,2.15,1619655836
Albany,US,42.6001,-73.9662,57.99,86,96,2.82,1619655837
Saskylakh,RU,71.9167,114.0833,23.45,88,87,7.67,1619655837
Arrifes,PT,37.7667,-25.7,57.2,72,75,3.44,1619655837
East London,ZA,-33.0153,27.9116,68.0,73,100,4.07,1619655838
Bambous Virieux,MU,-20.3428,57.7575,77.0,83,75,11.5,1619655838
Vila Franca do Campo,PT,37.7167,-25.4333,57.2,72,75,3.44,1619655838
Codrington,AU,-38.2667,141.9667,61.34,60,10,7.2,1619655839
Dothan,US,31.2232,-85.3905,80.6,54,20,6.91,1619655839
Avarua,CK,-21.2078,-159.775,84.2,79,40,6.91,1619655839
Saint-Philippe,RE,-21.3585,55.7679,75.2,73,0,6.91,1619655840
Ushuaia,AR,-54.8,-68.3,37.4,87,40,21.85,1619655840
Vaini,TO,-21.2,-175.2,80.6,83,75,8.05,1619655840
Rocha,UY,-34.4833,-54.3333,54.46,88,37,3.74,1619655687
Calatayud,ES,41.3535,-1.6432,55.4,100,39,3.15,1619655841
Atuona,PF,-9.8,-139.0333,79.43,70,87,9.98,1619655841
Sechura,PE,-5.5569,-80.8222,73.13,66,51,14.99,1619655841
Montepuez,MZ,-13.1256,38.9997,67.33,99,67,3.44,1619655841
New Norfolk,AU,-42.7826,147.0587,57.99,83,100,1.01,1619655842
Cape Town,ZA,-33.9258,18.4232,55.99,93,40,3.44,1619655714
San Cristobal,VE,7.7669,-72.225,77.0,100,75,4.61,1619655656
Punta Arenas,CL,-53.15,-70.9167,41.0,87,75,26.46,1619655842
Los Llanos de Aridane,ES,28.6585,-17.9182,68.0,60,90,6.91,1619655843
Bluff,NZ,-46.6,168.3333,57.99,80,96,8.01,1619655843
Mataura,NZ,-46.1927,168.8643,57.99,80,97,8.01,1619655843
Nanortalik,GL,60.1432,-45.2371,35.4,93,78,4.45,1619655844
Sitka,US,57.0531,-135.33,50.0,66,90,6.91,1619655844
Puerto Ayora,EC,-0.7393,-90.3518,75.99,86,46,6.73,1619655845
Pedernales,DO,18.0384,-71.744,76.08,78,32,6.78,1619655845
Ouango,CF,4.3133,22.5552,71.42,98,100,1.03,1619655845
Tasiilaq,GL,65.6145,-37.6368,32.0,93,90,3.44,1619655845
Busselton,AU,-33.65,115.3333,62.01,96,97,6.58,1619655769
Vallenar,CL,-28.5708,-70.7581,65.17,60,0,3.13,1619655846
Hamilton,US,39.1834,-84.5333,68.0,100,75,6.91,1619655711
Govindgarh,IN,27.5,76.9833,86.41,12,0,2.89,1619655846
Nome,US,64.5011,-165.4064,33.8,60,40,8.05,1619655847
Faanui,PF,-16.4833,-151.75,82.13,71,81,10.87,1619655847
Wilmington,US,34.2257,-77.9447,71.6,68,1,13.8,1619655822
Torbay,CA,47.6666,-52.7314,39.0,87,75,10.36,1619655847
Kapaa,US,22.0752,-159.319,73.4,94,90,16.11,1619655848
Monrovia,LR,6.3005,-10.7969,78.8,94,20,5.99,1619655848
Tura,IN,25.5198,90.2201,73.87,43,0,4.23,1619655848
Marawi,PH,7.9986,124.2928,82.0,77,96,0.74,1619655849
Hobart,AU,-42.8794,147.3294,60.8,63,75,6.91,1619655718
Jamestown,US,42.097,-79.2353,68.0,77,90,5.75,1619655639
Carnarvon,AU,-24.8667,113.6333,66.2,68,1,5.75,1619655850
Ancud,CL,-41.8697,-73.8203,59.0,100,90,12.66,1619655850
Jumla,NP,29.2747,82.1838,47.17,69,30,5.82,1619655850
Oranjestad,AW,12.524,-70.027,79.0,78,20,13.8,1619655715
Lebu,CL,-37.6167,-73.65,55.72,91,89,5.5,1619655851
Bredasdorp,ZA,-34.5322,20.0403,53.6,82,45,5.75,1619655851
Tiksi,RU,71.6872,128.8694,26.37,90,49,7.25,1619655851
Blagoyevo,RU,63.3667,47.9167,29.03,80,100,3.91,1619655852
Tuktoyaktuk,CA,69.4541,-133.0374,30.2,74,20,13.8,1619655852
Makkah al Mukarramah,SA,21.4267,39.8261,83.43,47,9,4.7,1619655625
Bengkulu,ID,-3.8004,102.2655,76.1,88,84,3.22,1619655812
Esil,KZ,51.9556,66.4042,48.16,72,96,6.82,1619655853
‘Āhuimanu,US,21.4447,-157.8378,80.6,69,90,9.22,1619655853
Stephenville,US,32.2207,-98.2023,77.0,69,1,3.44,1619655854
Bollnäs,SE,61.3482,16.3946,30.47,82,51,2.08,1619655854
Ambilobe,MG,-13.2,49.05,72.14,95,5,3.33,1619655854
Tonj,SS,7.2737,28.6822,78.12,71,93,4.34,1619655854
Tessalit,ML,20.1986,1.0114,91.33,8,83,9.37,1619655855
Yangi Marg`ilon,UZ,40.4272,71.7189,66.2,76,0,2.06,1619655855
Grand Gaube,MU,-20.0064,57.6608,75.0,91,98,5.01,1619655855
Mar del Plata,AR,-38.0023,-57.5575,66.0,82,0,9.22,1619655856
Port Lincoln,AU,-34.7333,135.8667,67.12,45,9,3.06,1619655856
Ust'-Koksa,RU,50.2696,85.6108,48.24,76,93,2.46,1619655856
Shirokiy,RU,49.758,129.523,48.16,38,62,7.16,1619655857
Omboué,GA,-1.5746,9.2618,77.86,88,96,2.26,1619655857
Salalah,OM,17.0151,54.0924,84.2,79,40,5.75,1619655857
Assaí,BR,-23.3733,-50.8414,69.8,56,0,3.44,1619655858
Padang,ID,-0.9492,100.3543,77.0,100,75,2.3,1619655858
Thompson,CA,55.7435,-97.8558,33.8,27,20,13.8,1619655859
Upernavik,GL,72.7868,-56.1549,20.93,93,42,3.22,1619655859
Jasrāna,IN,27.25,78.6833,85.44,10,15,7.34,1619655859
Mahébourg,MU,-20.4081,57.7,77.0,83,75,11.5,1619655860
Geraldton,AU,-28.7667,114.6,62.6,63,95,9.22,1619655798
Ilulissat,GL,69.2167,-51.1,33.8,80,99,8.05,1619655778
Minot,US,48.2325,-101.2963,55.4,30,1,14.97,1619655860
Port Hardy,CA,50.6996,-127.4199,50.0,93,90,14.97,1619655600
Butaritari,KI,3.0707,172.7902,81.9,78,95,11.56,1619655860
Makubetsu,JP,45.3714,141.8211,53.6,71,75,19.57,1619655861
Nelson Bay,AU,-32.7167,152.15,68.0,82,20,5.75,1619655861
Port-Gentil,GA,-0.7193,8.7815,80.6,89,20,5.75,1619655861
Plettenberg Bay,ZA,-34.0527,23.3716,60.6,85,99,8.08,1619655862
Saint-Augustin,CA,51.226,-58.6502,41.81,82,87,2.28,1619655862
Bubaque,GW,11.2833,-15.8333,77.59,72,28,18.37,1619655862
Castro,BR,-24.7911,-50.0119,53.04,86,12,4.07,1619655863
Kirensk,RU,57.7853,108.1119,30.11,65,8,7.11,1619655863
Kapit,MY,2.0167,112.9333,76.05,92,100,0.54,1619655864
Santiago de Cao,PE,-7.9589,-79.2392,64.4,88,90,9.22,1619655864
Beringovskiy,RU,63.05,179.3167,29.8,73,4,5.26,1619655865
Wādi,IN,17.0667,76.9833,85.06,36,100,5.21,1619655865
Kirovskiy,RU,45.0917,133.5136,51.53,49,1,6.69,1619655865
Paka,MY,4.6374,103.4368,78.8,94,20,2.21,1619655866
Yaan,NG,7.3833,8.5667,78.57,71,81,6.78,1619655866
Noyabrsk,RU,63.1994,75.4507,34.18,86,90,8.79,1619655866
Hofn,IS,64.2539,-15.2082,37.04,65,57,9.86,1619655867
Aklavik,CA,68.2191,-135.0107,39.2,48,9,8.05,1619655867
Pangody,RU,65.85,74.4859,26.29,88,100,2.86,1619655867
Constitución,CL,-35.3333,-72.4167,58.01,75,32,9.31,1619655868
Valdivia,CL,-39.8142,-73.2459,51.8,100,99,2.3,1619655756
Hong Kong,HK,22.2855,114.1577,73.0,78,97,7.54,1619655587
Airai,TL,-8.9266,125.4092,68.11,52,16,1.9,1619655868
